"Concessao";"Projeto";"CaminhoProjeto";"ConnectedProjectId";"Usuario";"Perfil";"Status";"Mensagem"
"Ecovias Araguaia";"Acesso 7° Ano - km 124+420 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 7°Ano 124+420";"d5ec25ff-8e7c-41ce-8308-3d60a9359e6d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 7° Ano - km 141+870 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 7°Ano 141+870";"ba9771ff-244d-49bc-a170-e31e37cbefac";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 7° Ano - km 91+280 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 7°Ano 91+280";"2deaeffb-787f-4387-8164-3dd5498645e8";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 8° Ano - km 31+50 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 8°Ano 31+50";"e0346c76-173d-491b-8a6c-fd1a4bc0056c";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso 8° Ano - km 72+48 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso 8°Ano 72+48";"fa5efb85-33b4-486f-a89a-3a3da2d36d9d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Acesso km 435+000 - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\Acesso km 35 - BR414/GO";"ac9087eb-5989-4e7c-953d-ab205aaa6ffd";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Adequação Largura de Faixa Existente - Atendimento classe 1A";"Engenharia\Ecovias Araguaia\Projetos\Atendimento classe 1A";"a2d749b0-1ef6-4d58-bd25-d7c7e94ea053";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Adequação Largura de Faixa Existente 8° Ano - BR080/GO";"Engenharia\Ecovias Araguaia\Projetos\Adequação Faixa BR-080";"85c7b5a0-066b-45d7-9434-45d5946103f2";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Adequação Largura de Faixa Existente 8° Ano - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\Adequação Faixa BR-414";"75e57cad-c1ee-4ba5-be63-377ccdd4a307";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Agulha 11 - km 672+200 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Agulha 11";"e3b6a29c-b1b0-4312-bca6-3d6191e218b3";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Agulha 12, 14 e 15 - km 671+672 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Agulha 12, 14 e 15";"0d6504b6-9983-4506-b5ce-4bf7bee61f35";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Agulha 13 - km 675+400 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Agulha 13";"f4e2576e-0061-4888-9e96-5e730a6a80f2";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Alças Viadutos - km 432+441 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Alças Viadutos km 432+441";"5b723ffb-0cc7-4f36-8506-8d8caaf76d48";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 10° Ano SH 10 - km 71+08 - 107+120 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 10°Ano SH 10";"060f59fd-1281-441a-9c3b-a35d30bf7c7e";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 10° Ano SH 12 -  km 124+420 - 141+850 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 10°Ano SH 12";"73e0c8e4-4e61-4db9-b593-fbf6ae1f0f2d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 20° Ano SH 1 - km 624+300 - 663+000 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 20°Ano SH 1";"73c8edf6-5218-43df-a71c-f3eb247a7f8d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 23° Ano SH 6 - km 800+000 - 802+531 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 23°Ano SH 6";"6161082b-f770-44c9-b4f3-aecc6eb4b560";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 3° Ano SH 1* - km 622+700 - 624+300 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 3° Ano SH 1";"5bfae34e-dd1a-49ab-8955-d2e2032bde5c";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 3° Ano SH 1,5 - km 663+000 - 671+190 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 3°Ano SH 1,5";"922466d5-864b-4292-8b7f-090a6ce7d2d8";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 3° Ano SH 2* - km 671+190 - 677+000 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 3°Ano SH 2*";"310d5d46-0966-4077-b7bd-eeddc8ecae4a";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 4° Ano SH 14 - km 176+030 - 199+430 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 14";"df8da846-2c0f-4d8f-ba60-1e2b1d08cc7c";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 4° Ano SH 20 e 21 - km 288+500 - 319+240 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 20 e 21";"643fd25c-51fd-4c0c-b711-55e3865ab634";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 4° Ano SH 5* e 6* - km 797+300 - 800+000 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 5* e 6*";"9d91ddb9-dd6a-4039-bf95-e662ba182b66";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 4°Ano SH 3* e 4*- km 720+800 - 724+000 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 3* e 4*";"7fc2aa3b-24ed-4278-9f43-ed387d2222fa";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 4°Ano SH 4* - km 721+905 - 760+644 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 4*";"533e03e7-e1f6-4030-a52d-90b0ffcf3a35";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 5°Ano SH 18 e 19 - km 274+940 - 288+500 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 5°Ano SH 18 e 19";"41dcf418-be1f-48da-a4f6-9bd73c21476c";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 5°Ano SH 2 - km 677+000 - 701+900 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 5°Ano SH 2";"f5a29f05-ce93-4e72-92f6-8a52dded6166";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 5°Ano SH 22 - km 319+240 - 321+850 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 5°Ano SH 22";"97f3d3f5-46c4-4eeb-8dc4-12325756dd11";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 6° Ano SH 16 e 17 - km 212+450 - 274+940 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 6°Ano SH 16 e 17";"a59cdfbd-96bf-444e-aac8-aa85f4f23526";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 6° Ano SH 23 - km 321+850 - 357+290 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 6°Ano SH 23";"73b23679-5ec0-4bf8-a6ce-901939a4cadf";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 7° Ano SH 11 - km 107+120 - 124+420 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 7°Ano SH 11";"e72f828e-3f3c-43ce-b089-172a4ef2c0a8";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 7° Ano SH 15 - km 199+430 - 212+450 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 7°Ano SH 15";"032bdfb0-e3b4-4c90-8722-74204fd5fe98";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 7° Ano SH 24 a 26 - km 357+292 - 377+170 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 7°Ano SH 24 a 26";"71cee75d-3a66-4993-9e87-1b93fc0b1a80";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 8° Ano SH 27 e 28 - km 377+170 - 420+530 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 8°Ano SH 27 e 28";"7e13aff4-ba0e-4a9b-bf3d-be7b0f4eb876";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 8° Ano SH 29 a 30 - km 429+725 - 438+50 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 8°Ano SH 29 e 30";"7728f036-853f-42b0-b4cf-6f205110728d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 9° Ano SH 30 - km 435+50 - 444+132 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 9°Ano SH 30";"f79aa49d-fd3a-4c08-931d-af7b123e0e82";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Ampliações 9° Ano SH 42 - km 395+890 - 409+05 - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\Ampliações 9°Ano SH 42";"b417ea35-4b6b-4b5c-9d01-51f724833057";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"BSO 08 (com SAU) - km 129+880 Sul - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 08 km 129+880";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 09 (sem SAU) - km 087+040 Norte - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 09 km 087+040";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 1 (sem SAU) - Anápolis - km 422+420 Norte - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 01 km 422+420";"17162cc7-b03d-41bb-8334-a27971d18f2b";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"BSO 10 (sem SAU) - km 046+870 Sul - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 10 km 046+870";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 11 (com SAU) - km 409+260 Norte - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 11 km 409+260";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 12 (com SAU) - km 765+220 Sul - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\BSO 12 km 765+220";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 13 (sem SAU) - km 717+200 Norte - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\BSO 13 km 717+200";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 14 (sem SAU) - km 677+200 Sul - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\BSO 14 km 677+200";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 15 (com SAU) -  km 637+500 Norte - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\BSO 15 km 637+500";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 16 (sem SAU) - km 409+260 Norte - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 16 km 409+260";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 17 (com SAU) - km 360+120 Sul - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 17 km 360+120";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 18 (com SAU) - km 305+460 Norte - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 18 km 305+460";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 19 (sem SAU) - km 141+950 Sul - BR080/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 19 km 141+950";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 2 (sem SAU) - São Francisco de Goiás - km 380+080 Sul - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 02 -  km 380+080";"ebb88ea5-61dc-4a93-8b3e-292088f8ea01";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"BSO 3 (com SAU) - Jaraguá - km 342+000 Norte - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 03 km 342+000";"3149e56e-958d-4084-9201-1e457aceb7a2";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"BSO 4 (com SAU) - Rialma - km 295+280 Sul - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 04 km 295+280";"ab69abaa-31e4-4dbb-9377-3de5378fe81d";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"BSO 5 (sem SAU) - São Luiz do Norte - km 256+660 Norte - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 05 km 256+660";"c831ff11-2ac1-46c8-a5bf-8bf18dc11f6b";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"BSO 6 (sem SAU) - Uruaçu - km 212+760 Sul - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 06 km 212+760";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"BSO 7 (com SAU) - Campinorte - km 170+980 Norte - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\BSO 07 km 170+980";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"Dispositivo 9°Ano - km 444+122 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Dispositivo 9°Ano";"444d077b-51f0-45f4-9c33-db7463330142";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"HS-WIM Abadiânia - km 432+174 - BR414/GO";"Engenharia\Ecovias Araguaia\Projetos\HS-WIM 2 km432+174";"d71a6fd9-7697-482e-9077-6140b8a01ada";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"HS-WIM Campinorte - km 169+067 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\HS-WIM 1 km169+067";"a8319426-3ee6-4687-8ab2-08d144df9856";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Marginal sul - km 671 - 677 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Marginal sul km 671-677";"2a9452c2-b943-4983-9ee4-9e3c935dbe3f";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Passarela 1 Uruaçu 4° Ano - km 197+800 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Passarela Uruaçu km 197";"9f6c0ea6-159f-49da-a8a6-d673ee87ea94";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Passarela 2 Uruaçu 4° Ano - Km 198+430 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Passarela Uruaçu km 198";"ddc3c1bf-a95b-4ed8-b951-cb211e038102";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Passarela 3 Alvorada 4° Ano - Km 759+700 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\Passarela Alvorada Km 759";"f16d5f47-a211-444c-8b7f-3ec1e8406beb";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Passarela 4 Aliança 4° Ano - km 623+500 - BR153/TO";"Engenharia\Ecovias Araguaia\Projetos\Passarela Aliança km 623";"12ce14ea-dae0-4e6e-95b2-f4d4214d156e";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Pontos de ônibus 3° e 4° Ano - BR-153";"Engenharia\Ecovias Araguaia\Projetos\Pontos de ônibus";"91a83c9e-282f-497b-b343-8905caaaf64e";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Simulacao";"Inclui usuario nas roles: ESPECIALISTA ao executar com -Apply."
"Ecovias Araguaia";"Posto de Pesagem - km 168+000 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\PPF km 168+000";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
"Ecovias Araguaia";"Posto de Pesagem - km 171+000 - BR153/GO";"Engenharia\Ecovias Araguaia\Projetos\PPF km 171+000";"";"gestaodeprojetos@itineraconstrucoes.com.br";"ESPECIALISTA";"Ignorado";"Projeto sem Connected Project associado."
